,SampleID,TM_BAM,ichorCNA
50,K0058,/mnt/BACKUP_NAS05/ECDTM_repository/align/9-K0058TCT3_M552-M752.deduplicated.bam,0.0
51,K0059,/mnt/BACKUP_NAS05/ECDTM_repository/align/10-K0059TCT3_M553-M753.deduplicated.bam,0.07638
52,K0060,/mnt/BACKUP_NAS05/ECDTM_repository/align/11-K0060TCT3_M554-M754.deduplicated.bam,0.05689
53,K0061,/mnt/BACKUP_NAS05/ECDTM_repository/align/K0061.deduplicated.bam,0.04771
54,K0062,/mnt/BACKUP_NAS05/ECDTM_repository/align/K0062.deduplicated.bam,0.04479
55,K0064,/mnt/BACKUP_NAS05/ECDTM_repository/align/K0064.deduplicated.bam,0.04485
56,K0065,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0065CT17T_M549-M749.deduplicated.bam,0.0
57,K0066,/mnt/BACKUP_NAS05/ECDTM_repository/align/31-K0066CT9T_M550-M750.deduplicated.bam,0.04238
58,K0067,/mnt/BACKUP_NAS05/ECDTM_repository/align/K0067.deduplicated.bam,0.0485
59,K0068,/mnt/BACKUP_NAS05/ECDTM_repository/align/K0068.deduplicated.bam,0.06188
60,K0070,/mnt/BACKUP_NAS05/ECDTM_repository/align/K0070.deduplicated.bam,0.04464
61,K0071,/mnt/BACKUP_NAS05/ECDTM_repository/align/11-K0071TCT5_M591-M791.deduplicated.bam,0.03672
62,K0072,/mnt/BACKUP_NAS05/ECDTM_repository/align/K0072.deduplicated.bam,0.04225
63,K0073,/mnt/BACKUP_NAS05/ECDTM_repository/align/34-K0073KR1CT55T_M594-M794.deduplicated.bam,0.03906
64,K0074,/mnt/BACKUP_NAS05/ECDTM_repository/align/33-K0074CT9T_M552-M752.deduplicated.bam,0.0
65,K0076,/mnt/BACKUP_NAS05/ECDTM_repository/align/1-K0076CT6T_M556-M756.deduplicated.bam,0.05978
66,K0077,/mnt/BACKUP_NAS05/ECDTM_repo/R1746/align/31-K0077CT6T_M557-M757.deduplicated.bam,0.0
67,K0078,/mnt/BACKUP_NAS05/ECDTM_repo/R1746/align/32-K0078CT6T_M558-M758.deduplicated.bam,0.06749
68,K0079,/mnt/BACKUP_NAS05/ECDTM_repo/R1746/align/2-K0079CT6T_M559-M759.deduplicated.bam,0.04337
69,K0080,/mnt/BACKUP_NAS05/ECDTM_repo/R1746/align/3-K0080CT6T_M560-M760.deduplicated.bam,0.07971
70,K0081,/mnt/BACKUP_NAS05/ECDTM_repository/align/35-K0081KR1CT55T_M595-M795.deduplicated.bam,0.0613
71,K0082,/mnt/BACKUP_NAS05/ECDTM_repository/align/35-K0082CT9T_M554-M754.deduplicated.bam,0.05484
72,K0084,/mnt/BACKUP_NAS05/ECDTM_repository/align/37-K0084KR1CT55T_M549-M749.deduplicated.bam,0.03859
73,K0085,/mnt/BACKUP_NAS05/ECDTM_repo/R1746/align/4-K0085CT6T_M553-M753.deduplicated.bam,0.0
74,K0086,/mnt/BACKUP_NAS05/ECDTM_repo/R1746/align/5-K0086CT6T_M554-M754.deduplicated.bam,0.0
75,K0087,/mnt/BACKUP_NAS05/ECDTM_repository/align/6-K0087CT6T_M555-M755.deduplicated.bam,0.02436
76,K0088,/mnt/BACKUP_NAS05/ECDTM_repository/align/38-K0088CT9T_M557-M757.deduplicated.bam,0.0
77,K0092,/mnt/BACKUP_NAS05/ECDTM_repository/align/39-K0092CT9T_M558-M758.deduplicated.bam,0.05448
78,K0093,/mnt/BACKUP_NAS05/ECDTM_repository/align/40-K0093CT9T_M559-M759.deduplicated.bam,0.05836
79,K0094,/mnt/BACKUP_NAS05/ECDTM_repo/R1746/align/9-K0094CT6T_M562-M762.deduplicated.bam,0.0
80,K0095,/mnt/BACKUP_NAS05/ECDTM_repository/align/10-K0095CT6T_M563-M763.deduplicated.bam,0.0
81,K0096,/mnt/BACKUP_NAS05/ECDTM_repo/R1746/align/11-K0096CT6T_M564-M764.deduplicated.bam,0.05193
82,K0097,/mnt/BACKUP_NAS05/ECDTM_repo/R1746/align/12-K0097CT6T_M565-M765.deduplicated.bam,0.04194
83,K0099,/mnt/BACKUP_NAS05/ECDTM_repository/align/13-K0099CT6T_M567-M767.deduplicated.bam,0.0
84,K0100,/mnt/BACKUP_NAS05/ECDTM_repo/R1746/align/14-K0100CT6T_M568-M768.deduplicated.bam,0.05077
85,K0101,/mnt/BACKUP_NAS05/ECDTM_repository/align/42-K0101CT9T_M561-M761.deduplicated.bam,0.04817
86,K0102,/mnt/BACKUP_NAS05/ECDTM_repository/align/43-K0102CT9T_M562-M762.deduplicated.bam,0.0622
87,K0103,/mnt/BACKUP_NAS05/ECDTM_repository/align/1-K0103CT8T_M571-M771.deduplicated.bam,0.04238
88,K0104,/mnt/BACKUP_NAS05/ECDTM_repository/align/44-K0104CT9T_M563-M763.deduplicated.bam,0.04433
89,K0105,/mnt/BACKUP_NAS05/ECDTM_repository/align/45-K0105CT9T_M564-M764.deduplicated.bam,0.0
90,K0106,/mnt/BACKUP_NAS05/ECDTM_repository/align/37-K0106CT17T_M574-M774.deduplicated.bam,0.05999
91,K0107,/mnt/BACKUP_NAS05/ECDTM_repository/align/2-K0107CT8T_M575-M775.deduplicated.bam,0.05141
92,K0109,/mnt/BACKUP_NAS05/ECDTM_repository/align/4-K0109CT8T_M577-M777.deduplicated.bam,0.03651
93,K0111,/mnt/BACKUP_NAS05/ECDTM_repository/align/5-K0111CT8T_M578-M778.deduplicated.bam,0.0
94,K0113,/mnt/BACKUP_NAS05/ECDTM_repository/align/127-K0113CT12T_M586-M786.deduplicated.bam,0.0
95,K0114,/mnt/BACKUP_NAS05/ECDTM_repository/align/7-K0114CT8T_M581-M781.deduplicated.bam,0.0
96,K0115,/mnt/BACKUP_NAS05/ECDTM_repository/align/8-K0115CT8T_M582-M782.deduplicated.bam,0.07276
97,K0116,/mnt/BACKUP_NAS05/ECDTM_repository/align/9-K0116CT8T_M583-M783.deduplicated.bam,0.0
98,K0117,/mnt/BACKUP_NAS05/ECDTM_repository/align/10-K0117CT8T_M584-M784.deduplicated.bam,0.03585
99,K0119,/mnt/BACKUP_NAS05/ECDTM_repository/align/12-K0119CT8T_M586-M786.deduplicated.bam,0.0701
100,K0120,/mnt/BACKUP_NAS05/ECDTM_repository/align/13-K0120CT8T_M587-M787.deduplicated.bam,0.0
101,K0121,/mnt/BACKUP_NAS05/ECDTM_repository/align/14-K0121CT8T_M588-M788.deduplicated.bam,0.07476
102,K0122,/mnt/BACKUP_NAS05/ECDTM_repo/R1757/align/15-K0122CT8T_M589-M789.deduplicated.bam,0.04236
103,K0123,/mnt/BACKUP_NAS05/ECDTM_repository/align/46-K0123CT9T_M590-M790.deduplicated.bam,0.0577
104,K0124,/mnt/BACKUP_NAS05/ECDTM_repository/align/63-K0124CT10T_M591-M791.deduplicated.bam,0.05515
105,K0125,/mnt/BACKUP_NAS05/ECDTM_repository/align/64-K0125CT10T_M592-M792.deduplicated.bam,0.05382
106,K0126,/mnt/BACKUP_NAS05/ECDTM_repository/align/65-K0126CT10T_M593-M793.deduplicated.bam,0.04599
107,K0129,/mnt/BACKUP_NAS05/ECDTM_repository/align/68-K0129CT10T_M583-M783.deduplicated.bam,0.04762
108,K0130,/mnt/BACKUP_NAS05/ECDTM_repository/align/69-K0130CT10T_M584-M784.deduplicated.bam,0.03325
109,K0131,/mnt/BACKUP_NAS05/ECDTM_repository/align/128-K0131CT12T_M587-M787.deduplicated.bam,0.07289
110,K0133,/mnt/BACKUP_NAS05/ECDTM_repository/align/129-K0133CT12T_M589-M789.deduplicated.bam,0.05818
111,K0135,/mnt/BACKUP_NAS05/ECDTM_repository/align/131-K0135CT12T_M591-M791.deduplicated.bam,0.1103
112,K0136,/mnt/BACKUP_NAS05/ECDTM_repository/align/132-K0136CT12T_M592-M792.deduplicated.bam,0.07939
113,K0138,/mnt/BACKUP_NAS05/ECDTM_repository/align/70-K0138CT10T_M565-M765.deduplicated.bam,0.08734
114,K0139,/mnt/BACKUP_NAS05/ECDTM_repository/align/71-K0139CT10T_M566-M766.deduplicated.bam,0.0549
115,K0141,/mnt/BACKUP_NAS05/ECDTM_repository/align/72-K0141CT10T_M568-M768.deduplicated.bam,0.0713
116,K0142,/mnt/BACKUP_NAS05/ECDTM_repository/align/73-K0142CT10T_M569-M769.deduplicated.bam,0.0
117,K0143,/mnt/BACKUP_NAS05/ECDTM_repository/align/74-K0143CT10T_M570-M770.deduplicated.bam,0.05852
118,K0145,/mnt/BACKUP_NAS05/ECDTM_repository/align/75-K0145CT10T_M596-M796.deduplicated.bam,0.0408
