,SampleID,group
221,KB75A11,Vi_request
222,KB76A11,Vi_request
223,KB77A11,Vi_request
224,KB78A11,Vi_request
225,KB80A11,Vi_request
226,KB81A11,Vi_request
227,KB82A11,Vi_request
228,KB84A11,Vi_request
229,KB86A11,Vi_request
230,KB87A11,Vi_request
231,KB88A11,Vi_request
232,KB89A11,Vi_request
233,KB90A11,Vi_request
234,KB94A11,Vi_request
235,KB95A11,Vi_request
236,KB96A11,Vi_request
237,KC03A11,Vi_request
238,KC07A11,Vi_request
239,KC10A11,Vi_request
240,KC15A11,Vi_request
241,KC17A11,Vi_request
242,KC19A11,Vi_request
243,KC20A11,Vi_request
244,KC23A11,Vi_request
245,KC32A11,Vi_request
246,LC161,Vi_request
247,MC025A,Vi_request
248,MC039A,Vi_request
